Subject,Gender,Education05,Income87,Job05,Income05,Weight05,HeightFeet05,HeightInch05,Imagazine,Inewspaper,Ilibrary,MotherEd,FatherEd,FamilyIncome78,Science,Arith,Word,Parag,Number,Coding,Auto,Math,Mechanic,Elec,AFQT,Esteem81_1,Esteem81_2,Esteem81_3,Esteem81_4,Esteem81_5,Esteem81_6,Esteem81_7,Esteem81_8,Esteem81_9,Esteem81_10,Esteem87_1,Esteem87_2,Esteem87_3,Esteem87_4,Esteem87_5,Esteem87_6,Esteem87_7,Esteem87_8,Esteem87_9,Esteem87_10
21,female,16,18500,"10 TO 430: Executive, Administrative and Managerial Occupations",253043,150,5,2,1,1,1,12,18,40000,15,29,33,13,49,64,19,25,21,8,88.416,1,1,4,1,4,1,1,4,4,3,1,1,4,1,4,1,2,3,4,4
22,female,16,9500,4700 TO 4960: Sales and Related Workers,45300,160,5,4,1,1,1,12,12,18000,19,27,31,14,42,45,12,22,20,14,89.167,2,2,2,3,3,3,2,3,2,2,2,2,2,3,3,3,2,2,3,3
29,female,12,17000,"10 TO 430: Executive, Administrative and Managerial Occupations",85000,150,5,8,0,1,1,0,4,24200,5,12,9,11,39,59,9,9,9,4,25.905,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
34,male,13,30000,1800 TO 1860: Social Scientists and Related Workers,150432,220,5,11,1,1,1,13,12,21000,12,8,20,8,24,42,22,3,11,10,6.069,1,1,3,1,3,2,2,1,3,3,1,1,4,1,4,1,1,3,3,3
37,female,12,16300,5000 TO 5930: Office and Administrative Support Workers,37000,160,5,7,0,1,1,12,12,37000,16,21,31,13,32,53,11,12,16,13,56.29,1,1,4,1,4,1,2,4,3,3,2,2,4,2,4,2,2,4,4,4
38,female,12,13000,5000 TO 5930: Office and Administrative Support Workers,70000,150,5,4,1,1,1,12,12,37000,10,9,17,9,30,50,11,5,13,5,12.788,2,2,3,2,4,1,2,4,2,3,2,2,4,2,4,2,2,3,2,3
39,male,12,26500,"10 TO 430: Executive, Administrative and Managerial Occupations",67000,200,6,0,1,1,1,12,12,22000,16,16,23,10,35,16,16,8,16,14,26.851,1,1,3,3,3,1,2,4,4,4,1,1,4,1,4,1,1,4,4,4
41,male,15,20000,4700 TO 4960: Sales and Related Workers,120000,240,6,2,1,1,1,10,12,5500,20,15,29,11,36,55,16,18,12,13,57.095,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,2,4,1,1
42,male,12,0,"7000 TO 7620: Installation, Maintenance and Repairs Workers",45000,260,6,0,1,1,1,14,12,21000,15,12,17,7,36,38,13,8,12,8,22.326,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
44,female,12,0,5000 TO 5930: Office and Administrative Support Workers,7200,129,5,4,1,1,1,12,12,30000,13,17,25,11,36,52,12,9,12,11,37.061,1,1,4,1,4,1,1,4,4,4,2,2,3,2,4,2,2,3,3,3
46,female,19,18000,3000 TO 3260: Health Diagnosing and Treating Practitioners,42000,135,5,2,1,1,1,12,12,28000,15,14,28,15,48,73,11,21,15,14,78.095,1,2,4,2,4,2,2,4,4,4,2,2,4,2,3,2,2,3,3,3
47,male,12,31000,"7900 TO 8960: Setters, Operators and Tenders",66309,233,6,1,1,1,1,12,16,32388,22,26,33,13,35,51,25,16,21,17,75.473,1,1,3,1,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
49,female,14,17000,"10 TO 430: Executive, Administrative and Managerial Occupations",34000,200,5,9,1,1,1,12,12,23900,17,26,28,14,50,80,10,14,14,9,71.226,1,1,4,1,4,2,2,2,2,4,1,1,4,1,1,1,1,1,1,1
57,female,12,17900,"10 TO 430: Executive, Administrative and Managerial Occupations",12000,145,5,7,1,1,1,12,12,23289,14,15,28,11,29,53,9,8,15,12,30.83,1,1,3,1,3,1,1,3,3,4,1,1,4,1,4,1,2,3,4,4
58,female,17,18500,"10 TO 430: Executive, Administrative and Managerial Occupations",55500,125,5,3,1,1,1,12,17,50000,20,26,35,15,49,83,12,18,12,16,91.625,1,1,4,1,4,1,1,3,3,4,1,1,4,1,4,1,1,4,4,4
61,female,14,19070,1000 TO 1240: Mathematical and Computer Scientists,63000,210,5,7,1,1,1,12,16,32000,23,28,35,15,49,70,14,25,21,18,99.15,2,2,4,2,4,2,2,4,4,4,1,1,4,1,4,1,2,4,3,4
62,female,13,14000,5000 TO 5930: Office and Administrative Support Workers,30000,261,5,10,1,1,1,12,16,32000,12,12,25,10,32,25,15,10,12,8,36.384,2,1,3,2,3,2,2,3,3,4,1,1,4,1,4,2,2,2,3,4
78,female,16,19450,3000 TO 3260: Health Diagnosing and Treating Practitioners,14657,135,5,4,1,1,1,16,18,32000,19,25,35,14,31,55,9,21,21,10,85.347,2,2,3,2,1,1,1,1,1,1,2,2,3,2,3,2,2,2,2,2
86,female,9,0,4700 TO 4960: Sales and Related Workers,14000,160,4,11,0,1,1,9,9,1688,3,4,7,5,5,15,2,9,3,5,7.198,2,1,4,2,3,2,2,3,3,3,1,2,4,1,4,1,1,4,4,4
87,male,12,18000,4200 TO 4250: Cleaning and Building Service Occupations,17000,187,5,8,0,1,1,11,12,12475,10,9,5,5,9,32,5,8,8,5,12.463,2,2,4,2,4,2,2,2,4,4,2,2,3,2,3,2,2,2,2,3
89,female,16,22000,"10 TO 430: Executive, Administrative and Managerial Occupations",62000,180,5,7,0,1,1,12,12,29000,19,24,34,15,40,55,5,17,12,8,84.98,1,1,4,1,4,1,2,3,3,4,1,1,4,1,4,2,2,3,4,4
97,female,14,14000,3300 TO 3650: Health Care Technical and Support Occupations,49000,170,5,7,1,1,1,12,11,8000,16,17,33,14,34,49,15,15,15,17,59.411,2,2,4,2,4,2,2,2,3,4,1,1,4,2,4,2,2,2,2,3
105,female,12,12561,5000 TO 5930: Office and Administrative Support Workers,40000,170,5,7,1,1,1,12,12,28000,16,28,32,14,48,60,10,20,10,7,81.787,1,1,4,1,4,2,2,4,4,4,1,1,4,1,4,2,2,4,3,4
106,male,16,23000,"10 TO 430: Executive, Administrative and Managerial Occupations",105000,195,5,9,0,1,1,12,9,11000,20,30,35,12,50,62,14,23,20,17,87.651,1,1,4,1,4,1,2,3,4,4,1,1,4,1,3,4,4,2,3,3
107,male,16,12000,"10 TO 430: Executive, Administrative and Managerial Occupations",43000,218,5,10,1,1,1,11,9,25000,16,19,31,11,48,70,14,16,16,10,65.347,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,1,1,4,4,4
117,male,15,30000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",83000,240,5,11,1,1,1,10,12,52300,25,29,35,15,35,32,24,22,24,18,98.349,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,3,4
119,male,16,22000,6200 TO 6940: Construction Trade and Extraction Workers,12000,178,5,10,0,1,0,11,8,7400,15,7,31,13,20,34,7,7,11,7,27.671,1,1,4,2,4,1,2,1,4,4,2,2,4,1,4,1,3,3,3,4
120,male,16,59387,500 TO 950: Management Related Occupations,150000,250,6,0,1,1,1,16,12,60000,25,30,34,13,49,55,23,25,18,18,97.847,2,2,3,2,3,3,2,3,3,3,1,2,4,1,3,2,2,3,3,3
121,female,17,7000,5000 TO 5930: Office and Administrative Support Workers,41000,150,5,5,1,1,1,17,15,60000,20,21,34,14,45,49,14,23,13,12,92.618,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
126,male,14,26392,4700 TO 4960: Sales and Related Workers,85000,175,6,0,1,1,1,14,15,30000,22,25,30,14,35,40,23,16,21,15,67.259,1,1,4,1,4,1,2,3,3,4,1,1,4,1,4,1,1,3,3,4
129,male,16,31000,500 TO 950: Management Related Occupations,80000,200,5,11,1,1,1,13,14,45000,20,28,33,14,25,36,17,23,20,16,92.817,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,1,1,4,4,4
133,female,12,13000,5000 TO 5930: Office and Administrative Support Workers,52000,234,5,2,0,1,1,10,11,25000,14,14,26,13,47,52,10,13,11,4,57.983,1,1,4,1,3,2,2,3,2,4,1,1,4,1,4,1,1,4,4,4
137,female,16,32000,"10 TO 430: Executive, Administrative and Managerial Occupations",175829,141,5,6,1,1,1,13,16,40000,17,28,31,13,48,74,17,24,22,13,87.283,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,1,1,3,3,4
138,female,16,14000,4500 TO 4650: Personal Care and Service Workers,8000,125,5,3,1,1,1,14,16,40000,14,24,30,14,45,84,11,23,15,10,88.326,2,2,4,2,4,2,2,3,3,4,1,1,3,2,4,2,2,3,3,3
139,male,15,2000,4700 TO 4960: Sales and Related Workers,120000,180,5,9,1,1,1,16,16,40000,19,24,31,14,32,46,23,11,20,15,79.832,1,1,4,1,4,1,2,3,4,4,1,1,4,1,4,1,1,3,3,4
140,female,17,17700,2200 TO 2340: Teachers,65000,140,5,10,1,1,1,15,12,36000,20,19,34,14,32,50,17,18,16,15,72.878,1,1,4,4,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
141,female,18,2000,"10 TO 430: Executive, Administrative and Managerial Occupations",44768,130,5,4,1,1,1,12,16,29000,19,21,34,14,34,46,14,21,16,16,85.861,1,1,4,1,4,1,1,4,4,4,2,2,3,2,3,2,2,3,2,2
145,male,12,8000,4200 TO 4250: Cleaning and Building Service Occupations,10000,155,5,10,0,1,1,12,12,12000,18,16,31,12,35,39,12,13,8,12,62.607,1,1,3,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,2,2
147,female,14,16000,5000 TO 5930: Office and Administrative Support Workers,12000,128,5,1,1,1,1,10,12,22000,13,10,23,10,44,66,13,9,10,7,22.466,2,2,3,2,3,2,3,3,3,3,1,1,4,1,4,1,1,4,4,4
148,male,12,-1,4700 TO 4960: Sales and Related Workers,21800,235,5,10,1,1,1,12,12,22000,22,24,30,13,31,47,20,14,22,14,74.997,1,1,3,1,4,2,4,3,4,3,1,1,4,1,4,2,1,4,3,4
149,female,12,0,4700 TO 4960: Sales and Related Workers,95000,185,5,6,1,1,1,11,12,22000,17,14,22,10,33,50,7,10,11,8,39.973,1,2,4,1,3,2,2,3,3,3,1,1,4,1,4,1,1,4,3,4
152,female,12,18000,2800 TO 2960: Media and Communications Workers,85000,138,5,4,1,1,1,12,12,35000,18,30,33,14,42,60,13,22,15,13,93.332,1,1,4,1,4,1,1,4,2,4,1,1,4,1,4,1,1,4,2,3
158,female,17,14000,"2400 TO 2550: Education, Training and Library Workers",35100,165,5,3,1,1,1,12,16,35000,13,22,35,14,46,44,9,22,12,11,85.206,1,1,4,2,4,2,2,4,4,4,1,1,4,2,4,2,2,3,4,4
160,female,14,18000,5000 TO 5930: Office and Administrative Support Workers,65000,190,5,7,1,1,1,8,8,17000,18,28,31,13,43,59,15,19,17,8,77.44,2,2,3,2,3,2,2,3,3,3,1,2,4,2,4,3,2,2,2,3
162,male,18,30000,"10 TO 430: Executive, Administrative and Managerial Occupations",76000,195,5,11,1,1,1,16,17,24000,24,29,35,14,38,60,17,24,23,18,98.253,1,1,3,2,3,2,2,3,3,3,1,1,4,1,4,1,1,4,4,4
165,female,12,24000,4500 TO 4650: Personal Care and Service Workers,50000,110,5,6,1,1,1,10,12,20000,12,16,25,13,45,54,13,12,14,5,46.506,1,1,4,1,4,2,1,3,3,4,2,2,3,2,3,2,1,3,3,4
166,male,13,19500,"10 TO 430: Executive, Administrative and Managerial Occupations",82000,225,5,10,1,1,1,10,12,20000,21,21,28,11,46,54,19,16,20,19,58.432,2,2,3,2,3,2,2,3,2,3,1,2,4,1,4,2,2,3,3,3
174,female,13,14500,500 TO 950: Management Related Occupations,48000,170,5,0,1,1,1,13,12,30000,12,17,29,12,33,50,8,17,12,7,47.279,1,1,4,2,4,1,2,3,3,3,2,2,3,2,3,2,2,2,3,3
179,female,12,5000,500 TO 950: Management Related Occupations,29000,130,5,0,1,1,1,11,12,10000,13,16,28,10,35,14,12,11,5,9,30.455,1,1,4,3,3,1,1,1,1,1,1,1,4,2,4,1,2,3,3,4
184,female,16,14450,"2400 TO 2550: Education, Training and Library Workers",6000,128,5,6,1,1,1,12,12,23000,19,21,28,13,39,38,16,16,18,13,59.078,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,1,1,3,4,4
185,male,12,12000,5000 TO 5930: Office and Administrative Support Workers,34000,175,6,0,1,1,1,12,12,23000,17,15,28,13,21,32,18,12,22,12,77.155,1,1,4,1,4,1,1,4,3,4,1,1,4,1,4,1,1,4,4,4
186,female,18,9000,5000 TO 5930: Office and Administrative Support Workers,65000,155,5,5,1,1,1,12,12,30000,20,25,31,15,49,59,15,18,14,12,81.515,1,1,3,1,2,2,2,4,3,3,1,1,4,1,4,1,1,4,4,4
188,female,10,0,3300 TO 3650: Health Care Technical and Support Occupations,15000,143,5,6,0,1,1,10,12,22000,14,7,22,11,23,36,12,4,12,10,11.983,2,2,3,2,3,2,2,3,3,3,2,1,4,2,4,2,2,3,3,3
190,female,18,22500,"10 TO 430: Executive, Administrative and Managerial Occupations",92000,160,5,3,1,1,1,16,17,26000,20,20,31,13,33,70,12,21,11,9,73.636,1,1,4,2,4,2,1,4,4,4,1,1,4,1,4,1,1,4,4,4
191,male,19,17500,"2100 TO 2150: Lawyers, Judges and Legal Support Workers",118000,175,5,8,1,1,1,16,17,26000,21,19,31,15,46,54,10,20,12,11,89.27,1,1,4,1,4,1,2,4,4,4,2,2,4,1,4,1,1,3,3,4
192,female,16,11000,5000 TO 5930: Office and Administrative Support Workers,26000,120,5,2,1,1,1,12,12,20000,18,20,31,12,41,47,14,22,16,12,80.48,1,1,4,1,4,1,1,4,3,3,1,2,3,2,4,2,2,3,3,4
193,male,16,37000,"1300 TO 1560: Engineers, Architects, Surveyers, Engineering and Related Technicians",105000,190,5,10,1,1,1,12,12,28000,21,19,29,11,39,59,21,21,14,20,45.527,2,2,3,2,3,2,2,3,3,3,2,2,4,2,4,2,2,4,2,3
197,female,12,11000,3300 TO 3650: Health Care Technical and Support Occupations,17000,136,5,2,1,1,1,11,12,25000,13,11,16,6,38,49,9,9,7,8,17.107,2,2,3,2,3,2,2,3,3,3,2,2,2,2,4,2,2,4,4,4
198,male,18,18000,"10 TO 430: Executive, Administrative and Managerial Occupations",130000,190,5,10,1,1,1,16,17,30000,20,23,27,9,49,58,13,21,14,12,64.239,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
199,male,12,24000,"10 TO 430: Executive, Administrative and Managerial Occupations",38000,190,5,8,1,1,1,12,12,65000,12,6,27,7,37,53,17,10,11,10,19.225,1,1,4,1,4,1,1,4,4,3,2,2,3,2,3,2,2,3,3,2
200,female,12,0,4000 TO 4160: Food Preparation and Serving Related Occupations,35000,112,5,3,0,1,1,16,12,25200,13,12,17,13,33,77,10,10,5,8,27.551,1,1,4,2,4,1,2,4,4,4,2,2,3,2,3,2,2,3,2,3
201,male,16,29000,4700 TO 4960: Sales and Related Workers,16000,200,5,9,1,1,1,13,20,49000,19,29,35,13,49,62,20,23,18,16,86.603,1,1,3,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,4,4
202,male,14,2100,"10 TO 430: Executive, Administrative and Managerial Occupations",55000,235,6,0,1,1,1,16,16,4300,22,25,31,12,39,34,19,20,21,18,73.184,1,1,4,1,4,2,2,3,4,4,1,1,4,1,4,1,1,3,4,4
207,male,12,14000,4000 TO 4160: Food Preparation and Serving Related Occupations,32000,203,5,11,1,1,0,9,10,13000,11,17,12,5,28,26,10,9,9,5,25.802,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
210,male,16,17000,5000 TO 5930: Office and Administrative Support Workers,50000,185,5,10,1,1,1,12,12,20000,17,16,25,12,49,57,16,20,11,14,59.04,1,1,4,1,4,1,1,3,3,4,1,1,4,1,4,1,2,1,2,4
218,male,16,59387,"10 TO 430: Executive, Administrative and Managerial Occupations",261763,145,5,7,1,1,1,12,12,15000,22,28,34,13,36,56,16,24,17,16,81.447,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,1,1,4,4,4
219,female,20,33000,2200 TO 2340: Teachers,102000,146,5,4,1,1,1,12,11,55000,14,22,28,13,41,62,10,16,14,11,60.012,1,1,4,1,4,1,1,3,4,4,1,1,4,1,3,2,2,4,3,4
220,female,20,0,"10 TO 430: Executive, Administrative and Managerial Occupations",105000,127,5,7,1,1,1,12,12,55000,22,27,31,14,48,83,17,25,14,17,89.381,2,2,3,2,3,2,2,3,3,3,2,2,4,2,4,2,2,3,3,4
228,female,9,0,4200 TO 4250: Cleaning and Building Service Occupations,1600,204,5,2,1,1,1,12,15,8450,9,10,7,3,18,39,7,5,7,4,2.739,2,2,3,2,3,2,2,3,3,3,2,2,3,2,2,2,2,3,3,3
230,male,15,3000,"10 TO 430: Executive, Administrative and Managerial Occupations",55000,165,5,10,1,1,1,12,8,19000,15,9,25,11,33,41,14,10,10,12,34.084,1,1,4,1,4,1,1,4,3,4,1,1,4,1,4,1,1,4,4,4
232,male,14,14500,4200 TO 4250: Cleaning and Building Service Occupations,45000,165,5,9,1,1,1,10,14,29000,18,15,32,12,35,45,20,15,16,15,55.78,2,2,4,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,2,3
233,male,12,13000,5000 TO 5930: Office and Administrative Support Workers,39000,200,5,10,0,1,0,10,15,29000,12,13,18,6,30,43,17,11,17,11,31.472,1,1,4,2,3,2,2,3,3,3,1,1,4,1,4,1,1,4,4,4
234,male,12,17500,3300 TO 3650: Health Care Technical and Support Occupations,140000,264,5,8,0,1,0,9,9,5000,15,16,18,12,36,38,10,9,8,10,35.461,1,1,4,1,4,1,1,4,3,4,1,1,4,1,4,1,2,3,2,4
235,male,15,9900,3700 TO 3950: Protective Service Occupations,98000,188,5,8,1,1,1,12,12,16000,19,22,26,10,39,50,22,22,21,14,61.313,1,1,4,2,3,2,2,3,3,3,1,1,3,2,4,1,2,3,2,2
236,female,13,15800,9000 TO 9750: Transportation and Material Moving Workers,30000,165,5,5,0,1,1,9,12,30000,18,18,30,14,49,51,14,17,14,10,71.673,2,2,4,2,4,2,2,3,3,4,1,1,4,1,4,1,1,4,4,4
239,female,10,0,3300 TO 3650: Health Care Technical and Support Occupations,9000,179,5,2,1,0,1,10,11,75,11,6,14,4,23,38,6,12,8,6,13.294,2,2,4,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,3,3
240,female,12,4700,5000 TO 5930: Office and Administrative Support Workers,38000,175,5,5,1,1,1,8,8,10000,15,18,29,9,34,38,15,12,11,10,50.483,1,1,4,1,4,2,2,3,3,3,1,1,4,1,4,1,1,3,3,4
242,female,12,11200,500 TO 950: Management Related Occupations,75000,163,5,5,1,1,0,12,12,7236,12,10,27,10,35,59,13,12,14,12,30.481,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,2,1,3,4,4
243,male,12,16750,"10 TO 430: Executive, Administrative and Managerial Occupations",94600,230,6,0,1,1,1,12,12,12600,18,26,32,11,34,50,19,18,21,14,62.957,1,1,4,1,4,1,1,3,3,4,1,1,4,1,4,1,1,3,4,3
244,female,12,5723,4500 TO 4650: Personal Care and Service Workers,5000,225,5,2,1,1,1,16,7,7910,22,24,34,14,38,57,22,17,16,17,73.828,2,2,3,2,3,2,2,3,3,3,1,1,4,2,4,2,2,3,3,2
245,female,14,13000,3300 TO 3650: Health Care Technical and Support Occupations,25000,135,5,4,1,0,0,14,12,15000,21,29,30,13,50,66,15,23,19,13,81.929,2,2,3,2,3,2,2,2,3,3,1,2,4,1,2,2,2,2,3,3
247,male,20,11000,"2000 TO 2060: Counselors, Sociala and Religious Workers",79000,190,5,9,0,0,1,13,8,6000,24,24,30,11,34,29,19,18,15,19,52.544,2,2,3,2,3,2,2,2,3,3,1,1,3,2,3,2,1,3,3,2
248,male,14,5000,5000 TO 5930: Office and Administrative Support Workers,2000,230,6,0,0,1,1,16,8,7000,13,8,19,7,20,21,12,5,14,8,8.261,2,2,4,2,4,2,2,3,4,4,2,2,3,2,3,1,3,3,3,3
253,male,11,250,"",20000,285,5,8,1,0,1,8,12,14000,12,15,23,3,18,32,8,10,16,8,34.745,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,2,2,3
256,female,13,7000,5000 TO 5930: Office and Administrative Support Workers,3000,119,5,4,0,1,1,11,9,18000,16,17,27,14,33,63,9,12,12,10,56.308,2,2,3,2,3,2,2,2,2,3,1,1,3,2,3,1,2,3,3,4
259,male,12,21000,"7900 TO 8960: Setters, Operators and Tenders",14000,290,6,4,0,1,1,12,12,19700,18,26,30,12,31,44,22,16,22,15,56.348,1,1,4,2,4,1,2,1,3,4,1,1,4,1,4,1,1,4,4,4
260,male,14,30000,500 TO 950: Management Related Occupations,65000,177,5,8,1,1,1,12,18,27000,24,26,34,12,50,56,25,24,23,19,83.227,1,1,4,1,4,1,1,4,4,4,2,1,4,1,4,1,1,4,4,4
269,male,16,59387,"10 TO 430: Executive, Administrative and Managerial Occupations",154541,170,5,9,1,1,1,12,18,8000,22,26,32,14,31,46,22,23,16,15,83.698,1,1,4,1,4,1,1,4,4,4,2,1,4,1,4,1,1,4,4,4
273,male,15,20000,"10 TO 430: Executive, Administrative and Managerial Occupations",61500,240,6,0,0,1,1,12,12,13870,15,23,33,10,47,58,16,18,21,16,64.372,2,2,3,1,4,1,1,4,4,4,1,1,3,2,3,2,2,3,3,3
274,male,13,8200,"1300 TO 1560: Engineers, Architects, Surveyers, Engineering and Related Technicians",45000,265,8,4,0,1,1,15,18,5800,17,29,32,14,39,48,20,19,22,14,88.343,1,1,4,1,4,1,1,4,3,4,1,1,4,1,4,2,1,4,4,4
275,female,14,20203,500 TO 950: Management Related Occupations,52000,191,5,5,1,1,1,14,18,5800,19,21,30,13,28,58,15,15,11,11,72.963,2,2,4,2,4,2,2,3,3,4,1,1,4,1,4,1,1,4,4,4
279,male,12,26000,5000 TO 5930: Office and Administrative Support Workers,64500,185,6,0,0,1,0,12,14,25000,18,14,34,11,29,39,22,11,16,15,59.272,2,2,3,2,3,2,2,3,3,3,1,1,4,1,4,1,1,4,3,4
281,male,18,18000,"10 TO 430: Executive, Administrative and Managerial Occupations",99000,205,6,3,1,1,1,13,13,25000,21,29,29,11,50,48,15,23,16,15,72.769,1,1,4,1,4,1,2,4,4,4,1,1,4,1,4,1,1,3,4,4
282,female,16,12000,"2400 TO 2550: Education, Training and Library Workers",14000,125,5,4,1,1,1,13,13,25000,18,25,27,14,49,52,13,24,13,9,85.4,2,2,3,1,4,2,1,2,2,4,1,1,4,1,4,1,1,4,4,4
283,male,12,18000,3700 TO 3950: Protective Service Occupations,53000,210,5,9,0,1,1,8,12,29000,15,11,24,8,32,34,17,6,11,16,15.136,2,2,3,2,3,2,2,3,3,3,2,2,3,2,3,2,2,3,3,3
284,male,12,14000,7700 TO 7750: Production and Operating Workers,90000,160,5,6,0,1,1,8,11,27000,17,16,30,12,26,40,16,9,14,17,44.708,1,1,4,1,4,1,1,4,4,4,1,1,4,2,4,2,1,4,4,4
285,female,10,8500,4700 TO 4960: Sales and Related Workers,35000,130,5,1,0,1,1,8,12,29000,13,7,13,9,45,47,4,10,7,8,15.448,2,1,3,2,1,1,1,3,2,2,1,1,4,1,2,1,1,2,3,4
290,female,10,0,4200 TO 4250: Cleaning and Building Service Occupations,19000,180,5,4,0,1,1,6,7,17900,10,9,11,7,20,45,6,6,7,5,11.136,2,2,3,2,3,2,2,3,3,3,1,2,3,2,3,2,2,2,2,3
299,male,11,10000,"7000 TO 7620: Installation, Maintenance and Repairs Workers",25000,180,5,7,0,0,1,6,12,4872,8,8,18,7,22,27,5,4,9,7,12.439,1,2,4,2,3,2,2,3,3,3,1,1,4,1,4,1,2,4,4,4
306,male,14,2000,"",40000,250,5,10,0,0,1,11,11,7226,12,11,20,13,44,56,11,7,7,10,27.277,1,1,4,1,4,1,1,4,4,4,2,2,4,1,4,1,2,2,4,4
310,male,12,20000,6200 TO 6940: Construction Trade and Extraction Workers,70000,165,5,11,1,1,1,12,8,30000,15,18,19,5,26,32,18,5,13,8,18.491,1,1,3,1,3,1,1,3,3,3,2,2,3,2,3,2,2,3,3,3
313,male,11,15000,"7900 TO 8960: Setters, Operators and Tenders",37000,170,5,7,0,1,1,11,10,17000,22,12,26,8,32,44,17,8,11,12,30.794,2,2,4,1,3,2,2,2,3,3,2,1,4,1,4,1,2,4,4,4
317,male,16,17800,"6000 TO 6130: Farming, Fishing and Forestry Occupations",31500,200,6,1,1,1,1,12,18,29000,25,25,35,12,41,52,23,21,22,17,78.739,1,1,4,1,4,1,1,4,4,4,1,1,4,1,4,1,1,4,3,3
321,female,16,24600,3000 TO 3260: Health Diagnosing and Treating Practitioners,69000,165,5,6,1,1,1,10,12,50000,23,24,32,14,25,33,12,21,15,14,76.525,1,1,4,1,4,1,1,3,4,4,1,1,3,1,4,1,2,3,2,4
